x,y
2163,770
2162,771
2161,771
2160,772
2154,772
2153,773
2150,773
2148,775
2148,776
2147,777
2142,777
2141,778
2137,778
2135,780
2135,781
2133,783
2133,788
2132,789
2132,790
2130,792
2130,795
2131,796
2131,798
2130,799
2130,800
2129,801
2129,802
2127,804
2126,804
2123,807
2122,807
2121,808
2120,808
2119,809
2118,809
2117,810
2116,810
2115,811
2111,811
2110,812
2109,812
2109,815
2108,816
2108,817
2109,818
2109,819
2110,820
2110,826
2106,830
2105,830
2104,829
2097,829
2096,828
2093,828
2092,829
2090,829
2089,830
2088,830
2087,831
2085,831
2087,831
2088,832
2092,832
2093,833
2106,833
2108,835
2109,835
2110,836
2113,836
2114,837
2116,837
2118,839
2119,839
2120,840
2121,840
2122,841
2122,842
2123,843
2123,844
2124,845
2124,848
2123,849
2123,851
2124,852
2124,853
2125,854
2125,855
2126,855
2127,856
2128,856
2130,858
2131,858
2132,859
2133,859
2134,860
2135,860
2136,861
2138,861
2139,862
2144,862
2146,860
2148,860
2149,861
2150,861
2151,862
2153,862
2154,863
2157,863
2158,864
2163,864
2164,865
2165,865
2166,866
2166,868
2167,869
2167,870
2166,871
2165,871
2163,873
2162,873
2161,874
2161,875
2162,876
2163,876
2164,877
2165,877
2166,878
2167,878
2168,879
2173,879
2174,880
2188,880
2189,881
2313,881
2314,880
2325,880
2326,879
2328,879
2329,878
2333,878
2334,879
2343,879
2344,880
2347,880
2348,881
2351,881
2352,882
2353,882
2354,883
2354,884
2352,886
2348,886
2347,885
2345,887
2344,887
2343,888
2338,888
2337,889
2336,889
2335,890
2335,891
2334,892
2332,892
2331,893
2328,893
2326,891
2318,891
2317,892
2303,892
2302,891
2294,891
2293,890
2292,890
2291,891
2290,891
2288,893
2282,893
2281,894
2278,894
2276,896
2255,896
2253,898
2254,899
2307,899
2308,898
2310,898
2311,897
2314,897
2315,896
2319,896
2320,895
2325,895
2326,894
2340,894
2341,895
2364,895
2365,896
2378,896
2379,895
2382,895
2383,894
2386,894
2388,892
2389,892
2390,891
2391,891
2392,890
2393,890
2394,889
2395,889
2396,888
2397,888
2399,890
2400,890
2401,891
2408,891
2409,892
2462,892
2463,893
2470,893
2471,892
2478,892
2479,891
2493,891
2494,890
2513,890
2514,889
2519,889
2520,888
2522,888
2523,887
2527,887
2528,886
2531,886
2532,885
2537,885
2538,884
2541,884
2542,883
2546,883
2547,882
2550,882
2551,881
2552,881
2553,880
2555,880
2554,879
2553,879
2552,878
2549,878
2548,877
2547,877
2546,876
2544,876
2542,874
2542,870
2543,869
2544,869
2545,868
2546,868
2547,867
2549,867
2550,866
2551,866
2552,865
2555,865
2556,864
2558,864
2559,863
2567,863
2568,862
2578,862
2579,861
2581,861
2582,860
2592,860
2593,859
2599,859
2600,858
2605,858
2606,857
2615,857
2616,856
2632,856
2633,855
2656,855
2657,854
2665,854
2666,853
2674,853
2675,852
2685,852
2686,851
2690,851
2691,850
2694,850
2695,849
2696,849
2697,848
2698,848
2700,846
2702,846
2702,843
2701,842
2701,839
2702,838
2702,836
2704,834
2705,834
2709,830
2710,830
2711,829
2712,829
2713,828
2714,828
2715,827
2716,827
2717,826
2719,826
2720,825
2723,825
2726,822
2726,821
2730,817
2731,817
2731,812
2737,806
2738,806
2739,805
2740,805
2741,804
2742,804
2743,803
2744,803
2745,802
2747,802
2748,801
2751,801
2753,799
2755,799
2756,798
2757,798
2758,797
2759,797
2760,796
2760,795
2762,793
2762,792
2761,792
2760,791
2759,791
2755,787
2755,783
2757,781
2757,780
2759,778
2757,776
2757,775
2756,774
2756,773
2755,773
2754,772
2752,772
2751,771
2748,771
2747,770
2740,770
2739,769
2737,769
2736,768
2735,768
2734,767
2732,767
2731,766
2729,766
2726,763
2726,762
2725,761
2725,760
2724,759
2724,754
2723,753
2723,752
2719,748
2718,748
2716,746
2715,746
2714,745
2712,745
2711,744
2708,744
2707,743
2703,743
2702,742
2701,742
2700,741
2699,741
2697,739
2695,739
2694,738
2692,738
2691,739
2689,739
2688,740
2687,740
2686,739
2684,739
2683,738
2680,738
2679,737
2677,737
2676,736
2675,736
2674,735
2674,730
2671,730
2670,729
2669,729
2667,727
2666,727
2665,726
2661,726
2660,725
2653,725
2651,727
2649,725
2648,725
2647,724
2644,724
2643,723
2642,723
2641,722
2640,722
2639,721
2637,721
2636,720
2629,720
2628,721
2625,721
2624,722
2614,722
2613,721
2607,721
2606,720
2597,720
2593,716
2595,714
2615,714
2616,713
2621,713
2622,712
2623,712
2624,711
2625,711
2627,709
2631,709
2632,708
2634,708
2635,707
2638,707
2639,706
2642,706
2641,705
2640,705
2639,704
2634,704
2633,703
2629,703
2628,702
2621,702
2617,698
2617,692
2618,691
2618,690
2619,689
2620,689
2621,688
2625,688
2627,686
2628,686
2629,685
2632,685
2635,682
2635,681
2636,680
2636,679
2638,677
2638,676
2639,675
2640,675
2642,673
2645,673
2646,672
2653,672
2654,671
2656,671
2657,670
2658,670
2659,669
2660,669
2661,668
2662,668
2663,667
2664,667
2665,666
2666,666
2667,665
2668,665
2671,662
2672,662
2677,657
2679,657
2680,656
2682,656
2683,655
2686,655
2687,654
2692,654
2693,653
2695,653
2696,652
